osm_id,name,lat,long
"35112971",Lê Quý ?ôn,10.778454,106.693951
"35113051",Calmette,10.768410,106.698855
"35113101",Lý T? Tr?ng,10.772113,106.694413
"35113620",Lê Th? Riêng,10.771202,106.691272
"35114023",Tr??ng ??nh,10.771587,106.696385
"35114072",Lê L?i,10.772532,106.699536
"35114429",Ð? Quang Ð?u,10.766896,106.690915
"35114876",Tôn Th?t Tùng,10.768590,106.689802
"35114956",Tôn Th?t Tùng,10.769370,106.689146
"35115032",Cách M?ng Tháng 8,10.773642,106.689485
"35115101",Nguy?n Trãi,10.770227,106.691694
"120276783",Yersin,10.767441,106.697275
"120276784",Tôn Th?t Tùng,10.770315,106.688260
"192680151",Nguy?n Thái H?c,10.766623,106.696160
"192680173",Nguy?n Th? Ngh?a,10.770777,106.693703
"192680178",Nguy?n Th? Ngh?a,10.770737,106.693836
"193256696",Nguy?n Th? Minh Khai,10.776602,106.692230
"203215338",Nguy?n Thái H?c,10.766683,106.696246
"215424982",Nguy?n Thái H?c,10.768272,106.695189
"215508133",Nguy?n Thái H?c,10.767583,106.695590
"215508134",Nguy?n Thái H?c,10.767200,106.695944
"215508254",Lê L?i,10.772598,106.699456
"220862996",Cách M?ng Tháng 8,10.772087,106.692137
"220863461",Cách M?ng Tháng 8,10.772403,106.691741
"227739703",Nguy?n Th? Minh Khai,10.774355,106.690190
"245571623",Lê Lai,10.770690,106.695477
"257394825",Cách M?ng Tháng 8,10.771794,106.692839
"285894645",Ph?m Ng? Lão,10.768103,106.691879
"288732439",Nguy?n Th? Minh Khai,10.772316,106.688249
"289968627",C?ng Qu?nh,10.766856,106.687887
"320379106",Lê Thánh Tôn,10.772621,106.696812
"326770976",Nguy?n Trãi,10.767728,106.688709
"326770977",Lê Lai,10.770075,106.693972
"326771006",Nam K? Kh?i Ngh?a,10.778350,106.696323
"326772491",Hàm Nghi,10.770821,106.701219
"326848022",Hàm Nghi,10.770866,106.700189
"326849844",Nguy?n Th? Minh Khai,10.775315,106.691088
"327097648",Ngã n?m C?ng Qu?nh,10.766773,106.688229
"329878183",Nam K? Kh?i Ngh?a,10.776311,106.698516
"329878185",Nguy?n Du,10.775117,106.696311
"408162167",Bùi Th? Xuân,10.772081,106.690567
"465990774",Ð? Quang Ð?u,10.767993,106.690202
"466039048",Nguy?n Th? Ngh?a,10.769599,106.694535
"466112794",Tr?n H?ng ??o,10.767275,106.694880
"466130926",Ph?m H?ng Thái,10.771224,106.694471
"466200149",Ngã sáu Phù ??ng,10.771205,106.693247
"466513741",Cách M?ng Tháng 8,10.773560,106.689407
"472412762",C?ng Qu?nh,10.765890,106.689394
"541781966",Bùi Th? Xuân,10.772692,106.691136
"550955110",Yersin,10.769576,106.696283
"565040730",Bùi Th? Xuân,10.769438,106.688051
"565040731",Bùi Th? Xuân,10.770136,106.688733
"605133444",Nam K? Kh?i Ngh?a,10.770634,106.701301
"654858471",Tr??ng ??nh,10.775993,106.691649
"682105048",Ph?m Ng? Lão,10.769220,106.694682
"682105050",Yersin,10.769239,106.696458
"682107400",Ph?m Ng? Lão,10.769524,106.695449
"703307393",Tr?n H?ng ??o,10.768023,106.695436
"703307394",Nguy?n Thái H?c,10.767926,106.695396
"703307395",Nguy?n Thái H?c,10.768113,106.695460
"703307396",Tr?n H?ng ??o,10.768665,106.695999
"703307397",Nguy?n Thái H?c,10.767996,106.695353
"703307398",Tr?n H?ng ??o,10.767863,106.695178
"703307399",Tr?n H?ng ??o,10.768085,106.695378
"703307400",Nguy?n Thái H?c,10.768170,106.695405
"715818180",C?ng Qu?nh,10.768060,106.685212
"715839334",Nguy?n Th? Minh Khai,10.769219,106.685373
"716065020",???ng Lý T? Tr?ng,10.775329,106.698598
"716746055",C?ng Qu?nh,10.767840,106.685674
"716746056",C?ng Qu?nh,10.767782,106.685919
"716746057",C?ng Qu?nh,10.767889,106.685586
"718499698",Hàm Nghi,10.771183,106.700063
"719043756",Ph?m H?ng Thái,10.771217,106.695701
"722054809",Tr?n H?ng ??o,10.766282,106.693793
"722054810",Tr?n H?ng ??o,10.768104,106.695505
"722054811",Nguy?n Thái H?c,10.769183,106.694776
"722054812",Nguy?n Thái H?c,10.767962,106.695527
"723575893",Nguy?n Thái H?c,10.767635,106.695693
"723575894",Nguy?n Thái H?c,10.767140,106.695857
"723823269",Cách M?ng Tháng 8,10.773529,106.689685
"723828605",Nguy?n Th??ng Hi?n,10.770402,106.686419
"723841572",Nguy?n Th? Ngh?a,10.770061,106.694264
"723849326",Nguy?n Th? Minh Khai,10.770209,106.686276
"723868605",Tr?n H?ng ??o,10.769637,106.696681
"723893361",Lê Lai,10.770147,106.694150
"724042273",Ph?m Ng? Lão,10.767090,106.689237
"724060390",Tr?n H?ng ??o,10.768140,106.695324
"724060391",Tr?n H?ng ??o,10.768811,106.695934
"724060392",Nguy?n Thái H?c,10.768740,106.694914
"724060393",Nguy?n Thái H?c,10.769114,106.694684
"724060394",Nguy?n Thái H?c,10.768232,106.695344
"724091816",Tr?n H?ng ??o,10.766740,106.694333
"724091817",Tr?n H?ng ??o,10.767357,106.694861
"724094361",Nguy?n Trãi,10.768985,106.689967
"724125651",Nguy?n Th? Ngh?a,10.770022,106.694163
"724391095",Lê Thánh Tôn,10.772245,106.696230
"724391096",Lê Thánh Tôn,10.771449,106.695012
"724391097",Lê Thánh Tôn,10.771749,106.695457
"724391098",Lê Thánh Tôn,10.771984,106.695824
"724436409",Cách M?ng Tháng 8,10.772906,106.690648
"724436410",Bùi Th? Xuân,10.772494,106.691012
"724436411",Bùi Th? Xuân,10.772548,106.690956
"732571882",Nguy?n Du,10.776804,106.697988
"749986988",Nam K? Kh?i Ngh?a,10.777502,106.697240
"758852506",Lê Du?n,10.778199,106.696491
"817119559",Tr?n H?ng ??o,10.769154,106.696525
"817119560",Tr?n H?ng ??o,10.769732,106.696965
"817119561",Yersin,10.769171,106.696494
"817119562",Tr?n H?ng ??o,10.768710,106.695935
"817513414",Nguy?n Th? Minh Khai,10.773579,106.689482
"817914011",Tr?n H?ng ??o,10.767946,106.695465
"817914013",Nguy?n Thái H?c,10.768044,106.695504
"817914014",Tr?n H?ng ??o,10.768574,106.696013
"817914015",Nguy?n Thái H?c,10.768055,106.695296
"817914016",Tr?n H?ng ??o,10.768031,106.695242
"818385418",Cách M?ng Tháng 8,10.773081,106.690502
"880079910",Nguy?n Trãi,10.768383,106.689316
"1019648661",Tr?n H?ng ??o,10.767448,106.694740
"1019648669",Tr?n H?ng ??o,10.765584,106.693100
"1019648673",Tr?n H?ng ??o,10.766413,106.693829
"1019648682",,10.768998,106.696145
"1019648683",,10.768907,106.696261
"1027254616",Ký Con,10.768267,106.697436
"1041892671",Ph?m Ng? Lão,10.769980,106.696614
"1044171790",Tr?n H?ng ??o,10.769766,106.696885
"1120394224",Bùi Th? Xuân,10.767804,106.686497
"1120394225",Bùi Th? Xuân,10.767847,106.686429
"1120414528",C?ng Qu?nh,10.767503,106.686524
"1128344409",Công tr??ng Quách Th? Trang,10.771128,106.698795
"1128344410",Công tr??ng Quách Th? Trang,10.771258,106.698786
"1128344411",Công tr??ng Quách Th? Trang,10.771797,106.698676
"1128344412",Công tr??ng Quách Th? Trang,10.771683,106.698731
"1128344999",Công tr??ng Quách Th? Trang,10.771353,106.698401
"1128345000",Lê Lai,10.771403,106.697288
"1128345001",Lê Lai,10.771461,106.697249
"1128345002",Công tr??ng Quách Th? Trang,10.771423,106.698459
"1128345003",Công tr??ng Quách Th? Trang,10.771365,106.698467
"1128345004",Công tr??ng Quách Th? Trang,10.771411,106.698393
"1132278756",Lê Lai,10.771146,106.696586
"1132333807",Ph?m Ng? Lão,10.770204,106.697199
"1132333808",Ph?m Ng? Lão,10.770097,106.697101
"1144283676",Nguy?n Th? Minh Khai,10.773466,106.689355
"1144283678",Cách M?ng Tháng 8,10.773504,106.689507
"1155340877",Phó ??c Chính,10.770943,106.698973
"1155340878",Phó ??c Chính,10.770863,106.699126
"1156562233",Tr?n H?ng ??o,10.769701,106.697019
